event_id,announcement_date,filer,target_named_in_document,target_source,secid,secid_in_reference_book,procedure_price,market_close_before,price_to_market,status
e1-azipi-4169660,2023-04-13,"Публичное акционерное общество ""Центротранстехмонтаж""","Публичное акционерное общество ""Центротранстехмонтаж""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4169782,2023-04-14,"Публичное акционерное общество ""Научно-исследовательский институт по измерительной технике""","Публичное акционерное общество ""Научно-исследовательский институт по измерительной технике""",filer,,,1.75,,,target_not_listed_on_moex
e1-ix-3383943,2023-04-20,"Публичное Акционерное Общество ""Кристалл""","Публичное Акционерное Общество ""Кристалл""",filer,KLVZ,KLVZ,1001.73,,,no_pre_event_market_data
e1-azipi-4176249,2023-05-03,Публичное  акционерное общество Банк Синара,Публичное  акционерное общество Банк Синара,filer,,,1.18,,,target_not_listed_on_moex
e1-azipi-4176333,2023-05-03,"Публичное акционерное общество ""Севастопольское автотранспортное предприятие 14330""","Публичное акционерное общество ""Севастопольское автотранспортное предприятие 14330""",filer,,,0.01,,,target_not_listed_on_moex
e1-azipi-4176671,2023-05-04,"Публичное акционерное общество проектно-промышленно-строительно-ремонтное объединение ""Омскагропромдорстрой""","Публичное акционерное общество проектно-промышленно-строительно-ремонтное объединение ""Омскагропромдорстрой""",filer,,,10,,,target_not_listed_on_moex
e1-azipi-4180769,2023-05-18,"Публичное акционерное общество ""Электромеханика""","Публичное акционерное общество ""Электромеханика""",filer,,,432.65,,,target_not_listed_on_moex
e1-azipi-4182659,2023-05-23,"Публичное акционерное общество ""Тяжстанкогидропресс""","Публичное акционерное общество ""Тяжстанкогидропресс""",filer,,,0.27,,,target_not_listed_on_moex
e1-azipi-4185989,2023-05-30,"Публичное акционерное общество ""Детский мир""","ПАО ""Детский мир""",document,DSKY,DSKY,60.77,70.66,0.86,ok
e1-azipi-4185989,2023-05-30,"Публичное акционерное общество ""Детский мир""","ПАО ""Детский мир""",document,DSKY,DSKY,60.77,70.66,0.86,ok
e1-azipi-4192270,2023-06-19,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""","Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""",filer,GTRK,GTRK,82.5,85.7,0.963,ok
e1-azipi-4201061,2023-07-10,"Публичное акционерное общество ""Бескудниковский комбинат строительных материалов""","Публичное акционерное общество ""Бескудниковский комбинат строительных материалов""",filer,,,7,,,target_not_listed_on_moex
e1-azipi-4207298,2023-08-01,"Акционерное общество ""Экспостроймаш""","Акционерное общество ""Экспостроймаш""",filer,,,1966.49,,,target_not_listed_on_moex
e1-azipi-4208801,2023-08-08,"Новосибирский социальный коммерческий банк ""Левобережный"" (публичное акционерное общество)","Новосибирский социальный коммерческий банк ""Левобережный"" (публичное акционерное общество)",filer,,,15207,,,target_not_listed_on_moex
e1-azipi-4210685,2023-08-15,"Публичное акционерное общество ""Азотреммаш""","Публичное акционерное общество ""Азотреммаш""",filer,,,469.17,,,target_not_listed_on_moex
e1-azipi-4212915,2023-08-23,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬСКИЙ ЗАВОД ""СПЕКТР"", Публичное акционерное общество ""Севастопольский завод ""Спектр"".","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬСКИЙ ЗАВОД ""СПЕКТР"", Публичное акционерное общество ""Севастопольский завод ""Спектр"".",filer,,,0.01,,,target_not_listed_on_moex
e1-azipi-4214327,2023-08-29,"Публичное акционерное общество ""Челябинский часовой завод ""Молния""","Публичное акционерное общество ""Челябинский часовой завод ""Молния""",filer,,,12,,,target_not_listed_on_moex
e1-azipi-4216366,2023-09-05,"Публичное акционерное Общество ""Челябинский машиностроительный завод автомобильных прицепов ""Уралавтоприцеп""","Публичное акционерное Общество ""Челябинский машиностроительный завод автомобильных прицепов ""Уралавтоприцеп""",filer,,,22.2,,,target_not_listed_on_moex
e1-azipi-4219524,2023-09-18,"Акционерное общество ""Кузнецовский комбинат""","Акционерное общество ""Кузнецовский комбинат""",filer,,,25.00,,,target_not_listed_on_moex
e1-azipi-4220409,2023-09-21,"Публичное акционерное общество ""Северо-Онежский бокситовый рудник""","Публичное акционерное общество ""Северо-Онежский бокситовый рудник""",filer,,,2992.17,,,target_not_listed_on_moex
e1-azipi-4221689,2023-09-26,"Акционерное общество ""Институт по проектированию предприятий машиностроения и приборостроения""","Акционерное общество ""Институт по проектированию предприятий машиностроения и приборостроения""",filer,,,41528.77,,,target_not_listed_on_moex
